sid	audio_id	contrib	len	n_pivots	pivots	text
4505767	973363	Ricardo14	26	4	estar,estar+ndo,ser,ser-vs-estar	É disso que estou falando.
1063525	58675	alexmarcelo	27	1	gostar-de	Todo mundo gosta de música?
8871260	738356	Ricardo14	37	1	comparative	Você parece ser mais velho do que eu.
3761827	471478	Ricardo14	24	1	saber+inf	Eu só sei falar francês.
1587055	75503	alexmarcelo	24	1	precisar+inf	Preciso dormir um pouco.
6176809	1186134	MathKay	16	1	imperative	Faça você mesmo!
886633	46666	alexmarcelo	21	2	estar,estar+ndo	Eu também estou indo.
2453257	139083	alexmarcelo	23	1	ir+inf	Eu vou estudar francês.
972637	50017	alexmarcelo	22	1	poder+inf	Você pode vir às nove?
5129499	279853	bill	22	1	preterite-irreg	Todo mundo foi dormir.
3416451	470160	Ricardo14	21	1	prep-place-or-time	Chegamos muito perto.
5117866	279317	alexmarcelo	22	1	conjunction	Então você sabe disso?
4814570	471517	Ricardo14	22	1	querer+inf	Eu quero ficar melhor.
12297156	1182729	MathKay	22	1	ter	Temos de partir agora.
5126974	279764	bill	22	1	possessive	O meu amigo me ajudou.
1656718	76407	alexmarcelo	22	1	estar	Você está certo disto?
1403886	71577	alexmarcelo	23	1	wh-question	Você sabe onde moramos?
1061497	58411	alexmarcelo	22	1	ser	A noite ainda é jovem.
2696332	471464	Ricardo14	23	1	demonstrative	Queremos isso de volta.
1113163	64148	alexmarcelo	22	1	negation	Não vejo nenhum homem.
4809990	769780	Ricardo14	33	4	estar,negation,ser,ser-vs-estar	Está um pouco quente aqui, não é?
972662	50033	alexmarcelo	27	1	gostar-de	Todo mundo gosta de música.
8871262	738357	Ricardo14	37	1	comparative	Você parece ser mais velha do que eu.
5924621	484176	Ricardo14	25	1	saber+inf	Eu sei por que você quer.
868884	46170	alexmarcelo	30	1	precisar+inf	Precisamos chegar a um acordo.
7830080	963551	Ricardo14	28	1	imperative	Faça o melhor que você pode.
10759633	1186174	MathKay	15	2	estar,estar+ndo	Está começando.
5028347	967323	Ricardo14	23	1	ir+inf	Nós vamos buscar ajuda.
9801869	963576	Ricardo14	22	1	poder+inf	Posso entrar aí agora?
7331488	963529	Ricardo14	23	1	preterite-irreg	Você teve alguma sorte?
10560933	963650	Ricardo14	24	1	prep-place-or-time	Trabalho em um hospital.
972747	50081	alexmarcelo	21	1	conjunction	Você se sente melhor?
5200172	471602	Ricardo14	22	1	querer+inf	Eu quero trabalhar lá.
6780829	471702	Ricardo14	22	1	ter	Tenho o que você quer.
10458375	963587	Ricardo14	23	1	possessive	Você quer o meu cartão?
1006413	50688	bill	21	1	estar	Vocês estão com frio?
1555565	75112	alexmarcelo	23	1	wh-question	Você sabe onde eu moro?
4524895	963419	Ricardo14	22	1	ser	É uma história triste.
4834825	963443	Ricardo14	23	1	demonstrative	Todo o mundo sabe isso.
3447910	963388	Ricardo14	22	1	negation	Não posso ir com você?
5137375	280408	bill	25	2	gostar-de,negation	Eu não gosto de escrever.
972828	50133	alexmarcelo	25	2	comparative,ser	Sou mais bonito que você.
5606232	471616	Ricardo14	27	1	saber+inf	Ele sabe falar francês bem.
1063169	58552	alexmarcelo	31	2	negation,precisar+inf	Não precisamos chamar o médico.
1235330	68023	alexmarcelo	15	1	imperative	Faz calor aqui.
1198076	67307	alexmarcelo	15	2	estar,estar+ndo	Estou chegando.
7657774	769946	Ricardo14	23	1	ir+inf	Eu vou encontrar outro.
3447940	963393	Ricardo14	23	1	poder+inf	Podemos fechar a porta?
3072527	1187666	MathKay	20	1	preterite-irreg	Hoje foi um dia bom.
5984586	471652	Ricardo14	24	1	prep-place-or-time	Farei trinta em outubro.
1567435	75309	bill	24	1	conjunction	Vocês se lembram de mim?
2371326	471450	Ricardo14	21	1	querer+inf	Quero tentar de novo!
1063268	58586	alexmarcelo	21	1	ter	Tenho medo do ônibus.
5129503	279855	bill	20	1	possessive	Cadê o meu dinheiro?
4902701	967287	Ricardo14	23	1	estar	Nós estamos aqui agora.
1641695	76120	alexmarcelo	23	1	wh-question	O que você faz da vida?
6780848	471704	Ricardo14	22	1	ser	Sou eu quem você quer.
5613482	484160	Ricardo14	21	1	demonstrative	Você quer isso mesmo?
5187329	484148	Ricardo14	22	1	negation	Você não me quer aqui?
8999695	767425	Ricardo14	29	2	gostar-de,negation	Eu não gosto de acordar cedo.
972826	50131	alexmarcelo	26	2	comparative,ser	Sou mais bonito que vocês.
5924622	484177	Ricardo14	27	1	saber+inf	Eu sei por que você o quer.
8864309	738349	Ricardo14	34	2	demonstrative,precisar+inf	Eu preciso fazer isso agora mesmo.
1608900	75682	alexmarcelo	15	1	imperative	Te pego depois.
886605	46649	alexmarcelo	29	2	estar,estar+ndo	Estou começando a me lembrar.
7657778	769947	Ricardo14	23	1	ir+inf	Eu vou encontrar outra.
3448054	963404	Ricardo14	21	1	poder+inf	Posso vir mais tarde?
8977455	763581	Ricardo14	20	1	preterite-irreg	Eu sempre fui assim.
8979467	763587	Ricardo14	24	1	prep-place-or-time	Nós nos lembramos disso.
1934958	88091	alexmarcelo	24	1	conjunction	Ele se parece com o pai.
2717073	484047	Ricardo14	21	1	querer+inf	Você quer ficar aqui?
5117935	279322	alexmarcelo	21	1	ter	Ele tem o necessário?
972619	50004	alexmarcelo	19	1	possessive	Limpe o seu quarto.
7491908	967395	Ricardo14	21	1	estar	Nós estamos com você.
6780612	471684	Ricardo14	23	1	wh-question	Vocês querem que eu vá?
972399	49910	alexmarcelo	22	1	ser	É alto e parece forte.
10543689	963637	Ricardo14	24	1	demonstrative	Você faria isso por mim?
912273	48276	alexmarcelo	22	1	negation	Não quero ir com você.
6803177	482316	Ricardo14	30	3	demonstrative,gostar-de,negation	Eles não gostam de fazer isso.
1116123	64285	alexmarcelo	37	2	comparative,ser	Um menino é mais alto do que o outro.
6798332	471757	Ricardo14	31	1	saber+inf	Alguém aqui sabe falar francês?
5126808	279710	alexmarcelo	36	2	demonstrative,precisar+inf	Você precisa experimentar este bolo.
1632067	75967	alexmarcelo	15	1	imperative	Te vejo amanhã.
10572353	978274	Ricardo14	30	2	estar,estar+ndo	Nós estamos indo para a praia.
8974869	762244	Ricardo14	23	1	ir+inf	Elas vão vir aqui hoje?
641340	41955	brauliobezerra	23	1	poder+inf	Você poderia ter feito.
11319633	1187721	MathKay	18	1	preterite-irreg	Ontem fui à praia.
1063238	58577	alexmarcelo	25	1	prep-place-or-time	Estará aí em dez minutos.
5126792	279702	alexmarcelo	19	1	conjunction	Ele quer ir embora?
4850248	471549	Ricardo14	21	1	querer+inf	Eu quero saber agora.
5855549	963463	Ricardo14	21	1	ter	Vocês têm o dinheiro?
4822744	471536	Ricardo14	26	1	possessive	Queremos o nosso dinheiro.
8068693	973376	Ricardo14	23	1	estar	Ela sempre está errada.
868839	46157	alexmarcelo	23	1	wh-question	Com o que você o abriu?
973373	50154	alexmarcelo	22	1	ser	É hora de ir à escola.
11082604	1186210	MathKay	20	1	demonstrative	Isso ajuda bastante.
1059924	58224	alexmarcelo	23	1	negation	Não há vida sem música.
6803179	482317	Ricardo14	30	3	demonstrative,gostar-de,negation	Elas não gostam de fazer isso.
5616748	473583	Ricardo14	51	2	comparative,possessive	Nosso professor fala francês tão bem quanto inglês.
2637132	473435	Ricardo14	37	2	saber+inf,wh-question	Como você sabe falar francês tão bem?
641350	41961	brauliobezerra	37	2	negation,precisar+inf	Você não precisa fazer de uma vez só.
5884247	351554	Ricardo14	15	1	imperative	Me sinto forte.
1276811	68656	alexmarcelo	13	2	estar,estar+ndo	Está comendo.
5055433	351526	Ricardo14	15	1	ir+inf	Vou comer aqui.
7345634	963530	Ricardo14	23	1	poder+inf	Você pode começar hoje?
3762418	230348	bill	17	1	preterite-irreg	Foi fácil demais.
3276821	470372	Ricardo14	19	1	prep-place-or-time	Estarei na cozinha.
5126794	279703	alexmarcelo	19	1	conjunction	Ela quer ir embora?
4850250	471551	Ricardo14	21	1	querer+inf	Agora eu quero saber.
595419	40547	brauliobezerra	21	1	ter	Ela tem cabelo longo.
3408273	470152	Ricardo14	17	1	possessive	Preciso da minha.
