sid	audio_id	contrib	len	verb_hits	verbs	lemmas	text
1250742	68274	alexmarcelo	14	1	chegou	chegar	Ele já chegou?
4760353	269767	bill	18	1	falo	falar	Eu não falo assim.
2485207	139812	alexmarcelo	14	1	devo	dever	O que eu devo?
1213926	67666	alexmarcelo	14	1	abram	abrir	Abram a porta.
4992109	967316	Ricardo14	16	2	vamos,ajudar	ajudar,ir	Vamos te ajudar.
2599045	152481	alexmarcelo	16	1	gosto	gostar	Eu gosto do Sol.
3386133	470395	Ricardo14	18	2	tenho,dormido	dormir,ter	Não tenho dormido.
1212961	67644	alexmarcelo	15	1	sinto	sentir	Eu me sinto só.
1656804	76422	alexmarcelo	15	1	fique	ficar	Fique um pouco.
1567393	75305	alexmarcelo	14	1	lembra	lembrar	Lembra de mim?
909344	48143	alexmarcelo	15	1	conhece	conhecer	Ela me conhece.
2115215	103276	alexmarcelo	15	1	partiram	partir	Todos partiram.
4517060	471496	Ricardo14	18	2	quero,ver	querer,ver	Eu quero ver isso.
12302943	1182502	MathKay	17	1	irei	ir	Irei ao banheiro.
4822843	475978	Ricardo14	20	2	tenho,fazer	fazer,ter	Tenho de fazer isso?
6781507	476009	Ricardo14	18	2	como,fazemos	comer,fazer	Como fazemos isso?
5134328	280119	bill	21	2	é,mora	morar,ser	É aqui que você mora?
1656812	76427	alexmarcelo	16	1	digam	dizer	Digam a verdade.
2758742	470322	Ricardo14	17	1	entendo	entender	Não entendo nada.
4952489	967292	Ricardo14	19	1	precisa	precisar	Quem precisa deles?
4597561	351473	Ricardo14	15	1	tentar	tentar	Pare de tentar.
3389173	470415	Ricardo14	14	2	espere,veja	esperar,ver	Espere e veja.
10032465	978240	Ricardo14	17	2	estou,perdido	estar,perder	Eu estou perdido.
1205182	67518	alexmarcelo	15	2	vai,pagar	ir,pagar	Quem vai pagar?
1217952	67707	alexmarcelo	15	1	encontrei	encontrar	Eu o encontrei!
1656707	76400	alexmarcelo	12	2	dá,ver	dar,ver	Dá para ver?
5149914	280710	bill	18	1	estou	estar	Não estou cansado.
1201159	67399	alexmarcelo	11	1	levo	levar	Eu te levo.
12264478	1182662	MathKay	18	1	sabíamos	saber	Não sabíamos isso.
3435173	351416	Ricardo14	15	1	volta	voltar	Volta logo, tá?
2757782	470321	Ricardo14	18	1	façam	fazer	Não façam barulho.
886199	46599	alexmarcelo	16	2	posso,falar	falar,poder	Não posso falar.
2115250	103300	alexmarcelo	14	1	pega	pegar	Pega um pouco.
8552004	973379	Ricardo14	33	2	está,chamando	chamar,estar	Eu acho que ela está te chamando.
2607305	471456	Ricardo14	18	1	é	ser	Seu francês é bom.
5151419	280877	bill	30	1	comprou	comprar	Onde você comprou o seu carro?
5127107	279777	bill	18	1	viram	ver	Eles não me viram.
4735601	537375	Ricardo14	14	1	chegaram	chegar	Eles chegaram.
1455428	72590	alexmarcelo	11	2	devo,ir	dever,ir	Eu devo ir?
1227769	67854	alexmarcelo	13	1	abram	abrir	Abram a boca!
